templateLength;clientEnrolTime;serverEnrolTime;clientAuthenticationTime;serverAuthenticationTime;ipfeClientRegistrationTime;ipfeClientAuthenticationTime;ipfeServerAuthenticationTime
64;209038786;79504;28197089;123632247;-1;-1;-1
80;376612575;90926;34031090;143046955;-1;-1;-1
96;616452377;102874;40697132;176487309;-1;-1;-1
112;951251004;109453;46065040;203187114;-1;-1;-1
128;1388093535;123620;54089664;224480216;-1;-1;-1
64;-1;-1;-1;-1;214821801;28247521;123461079
80;-1;-1;-1;-1;375078429;32723816;143217082
96;-1;-1;-1;-1;616358814;38817921;176889188
112;-1;-1;-1;-1;947200994;45695657;202564445
128;-1;-1;-1;-1;1389417908;52881254;222935882
64;-1;-1;-1;-1;208429713;26482883;119685660
80;-1;-1;-1;-1;376694694;34266944;143199102
96;-1;-1;-1;-1;615505065;39044183;176308788
112;-1;-1;-1;-1;949095487;46465074;204839718
128;-1;-1;-1;-1;1389223459;53483566;224245511
64;217478547;184910;28548530;124641703;-1;-1;-1
80;374092484;88526;33358297;144458857;-1;-1;-1
96;616467326;99183;39352970;176228795;-1;-1;-1
112;948751400;112778;47018452;203842680;-1;-1;-1
128;1388907189;121368;52156732;224784365;-1;-1;-1
64;207678136;75688;25941207;119708644;-1;-1;-1
80;372544091;89593;33570770;144012888;-1;-1;-1
96;614601972;99388;39939845;177128452;-1;-1;-1
112;948250461;113583;45557275;204191328;-1;-1;-1
128;1384729064;119957;52517960;223307145;-1;-1;-1
64;-1;-1;-1;-1;206625071;26768554;118693271
80;-1;-1;-1;-1;374941230;32293413;142761063
96;-1;-1;-1;-1;617326577;40729121;176051547
112;-1;-1;-1;-1;947406700;46843796;201833966
128;-1;-1;-1;-1;1389420598;54563418;224146790
